comp,ele_comb,reward,rl_step
Ag(HgAu)2,"('Ag', 'Au', 'Hg')",2.2111542e-06,11
TbEr4Tm,"('Er', 'Tb', 'Tm')",0.83477426,11
La(SmAu)2,"('Au', 'La', 'Sm')",0.019979363,12
Ba3In3Pd2,"('Ba', 'In', 'Pd')",0.32795924,12
NaSb2Pt2PbO12,"('Na', 'O', 'Pb', 'Pt', 'Sb')",0.0021520532,12
KLiCd5Hg4,"('Cd', 'Hg', 'K', 'Li')",0.6395933,12
Zr5TlH4,"('H', 'Tl', 'Zr')",0.7990254,12
Zr2Pd5Au9,"('Au', 'Pd', 'Zr')",2.2552107e-20,12
Hg,"('Hg',)",0.99583954,12
YbSn5Rh2,"('Rh', 'Sn', 'Yb')",3.219828e-05,12
La5Sc3In2,"('In', 'La', 'Sc')",0.6496061,12
Rb2NaCd7,"('Cd', 'Na', 'Rb')",0.17975278,12
ScMn6(SnGe)3,"('Ge', 'Mn', 'Sc', 'Sn')",0.23482701,12
K2Cd7Au,"('Au', 'Cd', 'K')",0.3148333,12
Sr2Tl3Pb,"('Pb', 'Sr', 'Tl')",0.9412257,12
CeSm2DyTl,"('Ce', 'Dy', 'Sm', 'Tl')",0.5431303,13
Li2Mg(CdAg)2,"('Ag', 'Cd', 'Li', 'Mg')",0.6280627,13
Li4Zr2MnSe8,"('Li', 'Mn', 'Se', 'Zr')",0.5079428,13
YGa2Cu2Ag,"('Ag', 'Cu', 'Ga', 'Y')",0.05130726,13
In2PdRh,"('In', 'Pd', 'Rh')",2.0983905e-18,13
Pr3BiSbTe,"('Bi', 'Pr', 'Sb', 'Te')",0.031559367,13
LaPr(ErIr)2,"('Er', 'Ir', 'La', 'Pr')",0.5165931,13
La2Nd3Dy2Ho9,"('Dy', 'Ho', 'La', 'Nd')",0.5485506,13
LaZnAu2,"('Au', 'La', 'Zn')",0.008235859,13
BaCaLaGa2,"('Ba', 'Ca', 'Ga', 'La')",0.9803582,13
RbHICl,"('Cl', 'H', 'I', 'Rb')",7.343984e-06,13
Ce3Hf(TlS2)4,"('Ce', 'Hf', 'S', 'Tl')",0.80110395,13
NaSr6Li2In,"('In', 'Li', 'Na', 'Sr')",0.010135494,14
RbBa2N,"('Ba', 'N', 'Rb')",0.01146954,14
K2SiPbAu6,"('Au', 'K', 'Pb', 'Si')",0.953667,14
Sn(SbTe)3,"('Sb', 'Sn', 'Te')",2.0555712e-05,14
PrC,"('C', 'Pr')",0.37560675,14
GaPb4,"('Ga', 'Pb')",0.0016367614,14
Li3Bi2Pd7,"('Bi', 'Li', 'Pd')",6.575273e-08,14
Zr4GaPt,"('Ga', 'Pt', 'Zr')",0.03297141,14
Ba2Mg4Tl3Ag,"('Ag', 'Ba', 'Mg', 'Tl')",0.16436899,14
K2NaTl2In,"('In', 'K', 'Na', 'Tl')",0.13397193,14
LaGaPt3,"('Ga', 'La', 'Pt')",9.388232e-15,14
Ba6AsP3Cl2,"('As', 'Ba', 'Cl', 'P')",0.03779566,14
LiErCu3,"('Cu', 'Er', 'Li')",0.4757712,14
Cs2TlHgI6,"('Cs', 'Hg', 'I', 'Tl')",7.45728e-05,14
Zr2Sc3,"('Sc', 'Zr')",0.0032935124,15
Cs2K2Na7,"('Cs', 'K', 'Na')",0.00014301541,15
Er4Ga3Sn,"('Er', 'Ga', 'Sn')",0.8170759,15
Pr2Dy2Ho3,"('Dy', 'Ho', 'Pr')",0.5316354,15
Y2HoEr2Tm,"('Er', 'Ho', 'Tm', 'Y')",0.922701,15
BaSr(Li3Zn)2,"('Ba', 'Li', 'Sr', 'Zn')",0.043161593,15
RbMnP2Rh,"('Mn', 'P', 'Rb', 'Rh')",0.16423239,15
LiHoCu,"('Cu', 'Ho', 'Li')",0.99964696,15
CsK2LiBr4,"('Br', 'Cs', 'K', 'Li')",5.689187e-06,15
LiLaHgGe2,"('Ge', 'Hg', 'La', 'Li')",0.19935963,15
Pr4Dy3Er,"('Dy', 'Er', 'Pr')",0.8285039,15
Rb3ScI6,"('I', 'Rb', 'Sc')",0.000106479405,15
TbDyScBi3,"('Bi', 'Dy', 'Sc', 'Tb')",1.0508202e-08,15
Tl4SbPb4,"('Pb', 'Sb', 'Tl')",1.3956252e-06,15
Sr3In5,"('In', 'Sr')",0.8762235,15
Rb2Tl3Pb,"('Pb', 'Rb', 'Tl')",0.20300096,15
Ce2Al4Ag3Ge,"('Ag', 'Al', 'Ce', 'Ge')",0.46558192,16
Cs2KHgBi,"('Bi', 'Cs', 'Hg', 'K')",0.048325296,16
TlCd3In(Sn2Hg)2,"('Cd', 'Hg', 'In', 'Sn', 'Tl')",0.31297284,16
LiErAlIr,"('Al', 'Er', 'Ir', 'Li')",0.5451708,16
Tb2Nd(YTm)2,"('Nd', 'Tb', 'Tm', 'Y')",0.9430674,16
Dy2CoNi3,"('Co', 'Dy', 'Ni')",0.009827206,16
Cd7In2Cu3,"('Cd', 'Cu', 'In')",0.013382184,16
Yb2Ru3,"('Ru', 'Yb')",0.08614083,16
Cs3(K3Cd)2,"('Cd', 'Cs', 'K')",0.00054405455,16
BaCaBiPb2,"('Ba', 'Bi', 'Ca', 'Pb')",0.8282032,16
Ta11Cu,"('Cu', 'Ta')",3.773257e-20,16
MgAl5Ga2,"('Al', 'Ga', 'Mg')",0.73347366,16
Cs2NdLuS4,"('Cs', 'Lu', 'Nd', 'S')",0.0062553324,16
LiCa2Ag9,"('Ag', 'Ca', 'Li')",0.5988453,16
LiZnHg8,"('Hg', 'Li', 'Zn')",0.8110083,16
Na(SnHg)2,"('Hg', 'Na', 'Sn')",0.7367644,17
K(Na2Ag)2,"('Ag', 'K', 'Na')",0.0038998562,17
Tb2PrPd,"('Pd', 'Pr', 'Tb')",0.49762127,17
LiCa2In3Ag4,"('Ag', 'Ca', 'In', 'Li')",0.43718296,17
CdInGaHg2,"('Cd', 'Ga', 'Hg', 'In')",0.20533386,17
BaGd3Ru,"('Ba', 'Gd', 'Ru')",0.9748178,17
Li5Mg4In3,"('In', 'Li', 'Mg')",0.3013278,17
ZrF4,"('F', 'Zr')",3.7290996e-05,17
LaPr2Ga,"('Ga', 'La', 'Pr')",0.7940726,17
Sr6AlGe2,"('Al', 'Ge', 'Sr')",0.78699404,17
Na6In2Hg,"('Hg', 'In', 'Na')",0.04401706,17
Er11Tl2Ir5,"('Er', 'Ir', 'Tl')",0.064575925,17
Tl5(Bi3Pt2)3,"('Bi', 'Pt', 'Tl')",3.5095104e-07,17
La6CdBi5,"('Bi', 'Cd', 'La')",0.00014000648,17
Li2TbSmF8,"('F', 'Li', 'Sm', 'Tb')",4.810875e-06,17
In9Sn7Hg2,"('Hg', 'In', 'Sn')",0.13672318,17
KRbNaCdHg2,"('Cd', 'Hg', 'K', 'Na', 'Rb')",0.018392941,18
DyCd(InPt2)2,"('Cd', 'Dy', 'In', 'Pt')",2.0129003e-11,18
KTl2(PdPt)2,"('K', 'Pd', 'Pt', 'Tl')",0.00038806102,18
C,"('C',)",0.07747748,18
MgZn5Cu12,"('Cu', 'Mg', 'Zn')",0.002532027,18
Ba2GaRh2,"('Ba', 'Ga', 'Rh')",0.000132091,18
Dy4GaHg3,"('Dy', 'Ga', 'Hg')",0.9646287,18
Zn11CuAg7,"('Ag', 'Cu', 'Zn')",0.14050366,18
Tb3Pr2Sm3Er2,"('Er', 'Pr', 'Sm', 'Tb')",0.98416525,18
Cs3Rb3ReF11,"('Cs', 'F', 'Rb', 'Re')",5.3170997e-06,18
Ti2MnSn,"('Mn', 'Sn', 'Ti')",0.004055961,18
Li2ErAu3,"('Au', 'Er', 'Li')",0.25980657,18
In7Ga9Ge2,"('Ga', 'Ge', 'In')",0.5509141,18
CePr2In,"('Ce', 'In', 'Pr')",0.5186401,18
Sr4(InAu)3,"('Au', 'In', 'Sr')",0.8525956,18
CeNdBi,"('Bi', 'Ce', 'Nd')",0.08687436,18
Y(Cd3Pt2)2,"('Cd', 'Pt', 'Y')",3.823769e-06,19
Li2Hg2Au3,"('Au', 'Hg', 'Li')",0.028357906,19
TbTlBr4,"('Br', 'Tb', 'Tl')",0.00010800338,19
Al3Cu5,"('Al', 'Cu')",0.0007524692,19
InPb6Au,"('Au', 'In', 'Pb')",2.4937803e-08,19
Cs5K,"('Cs', 'K')",0.00023450292,19
Sr3Zn2,"('Sr', 'Zn')",0.106581435,19
Dy2HoIn4,"('Dy', 'Ho', 'In')",0.14165135,19
SrCO3,"('C', 'O', 'Sr')",1.6698763e-05,19
Tb5Pr3Tm,"('Pr', 'Tb', 'Tm')",0.9996721,19
LiHoZr2N4,"('Ho', 'Li', 'N', 'Zr')",0.7793378,19
Er3Tl2Au,"('Au', 'Er', 'Tl')",0.012281967,19
In4Hg5Pb2,"('Hg', 'In', 'Pb')",0.04490261,19
AlAg,"('Ag', 'Al')",0.21855563,19
PrDy2S3,"('Dy', 'Pr', 'S')",0.17542928,19
PrLuBi2,"('Bi', 'Lu', 'Pr')",0.00017421877,19
EuTlInSn,"('Eu', 'In', 'Sn', 'Tl')",0.06874518,20
Li6Ag6SnGe2,"('Ag', 'Ge', 'Li', 'Sn')",0.9983099,20
Li5Pt3,"('Li', 'Pt')",0.60479844,20
Na4Ho3TiTe8,"('Ho', 'Na', 'Te', 'Ti')",0.24970935,20
Na3LiS2,"('Li', 'Na', 'S')",0.00012627525,20
Pr4Ga7Sn9,"('Ga', 'Pr', 'Sn')",0.1946927,20
Tb4TmHg2,"('Hg', 'Tb', 'Tm')",0.97612274,20
Na5ScHg4,"('Hg', 'Na', 'Sc')",0.21128975,20
Tb12Ni7Au,"('Au', 'Ni', 'Tb')",0.89972395,20
Pr6Sm9Y5,"('Pr', 'Sm', 'Y')",0.9619246,20
Na5Tl9Cd4,"('Cd', 'Na', 'Tl')",0.88369596,20
Na3TlBr4,"('Br', 'Na', 'Tl')",9.122645e-05,20
Na2SrTiO4,"('Na', 'O', 'Sr', 'Ti')",1.665708e-05,20
LiAlZn6,"('Al', 'Li', 'Zn')",0.5486697,20
La2Tb5Mg,"('La', 'Mg', 'Tb')",0.9995596,20
TbYNiAg,"('Ag', 'Ni', 'Tb', 'Y')",0.43985516,20
Pr5Nd13Dy2,"('Dy', 'Nd', 'Pr')",0.9805179834365844,0
Li5Pt,"('Li', 'Pt')",0.1664371341466903,0
La4TlSb2I,"('I', 'La', 'Sb', 'Tl')",0.6281965970993042,0
EuIO5,"('Eu', 'I', 'O')",0.0014253478730097,0
NaTl2SnCl8,"('Cl', 'Na', 'Sn', 'Tl')",1.0334702892578209e-05,0
Er3ZrCd2,"('Cd', 'Er', 'Zr')",0.3811017870903015,0
Yb2Si2W2C,"('C', 'Si', 'W', 'Yb')",0.9996718764305116,0
La2DyHgN,"('Dy', 'Hg', 'La', 'N')",0.748573362827301,0
La2PrPb,"('La', 'Pb', 'Pr')",0.0616932325065135,0
AgHg2GeS4,"('Ag', 'Ge', 'Hg', 'S')",0.5846291184425354,0
CeSb2Ir,"('Ce', 'Ir', 'Sb')",4.642531248322257e-09,0
Ba2ZnSn4Rh3,"('Ba', 'Rh', 'Sn', 'Zn')",7.328118499572156e-06,0
Pr2In4CuAu3,"('Au', 'Cu', 'In', 'Pr')",0.1858867853879928,0
EuGeAsO6,"('As', 'Eu', 'Ge', 'O')",0.0012172032147645,1
CsNa2WNO3,"('Cs', 'N', 'Na', 'O', 'W')",4.913160955766216e-05,1
NaCaPrNdHg4,"('Ca', 'Hg', 'Na', 'Nd', 'Pr')",0.8872535228729248,1
KLiBr2,"('Br', 'K', 'Li')",4.7339512093458325e-05,1
Dy9Sc2Cd3Ni4,"('Cd', 'Dy', 'Ni', 'Sc')",0.7858656644821167,1
Tb10Er2Mg3Cd,"('Cd', 'Er', 'Mg', 'Tb')",0.9717350602149964,1
K2LiCeSb2,"('Ce', 'K', 'Li', 'Sb')",0.3468967378139496,1
Cs2BaO2,"('Ba', 'Cs', 'O')",0.0003708683943841,1
LaTb6YEr4,"('Er', 'La', 'Tb', 'Y')",0.998982548713684,1
LaPr3H10,"('H', 'La', 'Pr')",0.0371309630572795,1
Cs3Ga3Au4,"('Au', 'Cs', 'Ga')",0.0179413631558418,1
Pr2(ZnAg)3,"('Ag', 'Pr', 'Zn')",0.7762373685836792,1
Tm2Lu(SnPd)3,"('Lu', 'Pd', 'Sn', 'Tm')",0.0274613574147224,1
Cd2Hg5Bi,"('Bi', 'Cd', 'Hg')",0.1891332417726516,1
ZnTeO3,"('O', 'Te', 'Zn')",0.0004133406036999,1
La6SiAs2SI2,"('As', 'I', 'La', 'S', 'Si')",0.4559182822704315,1
Zn3(Cd3Ag)2,"('Ag', 'Cd', 'Zn')",0.1430945545434951,1
Pr3Y3(HoTe4)2,"('Ho', 'Pr', 'Te', 'Y')",0.9251309633255004,1
Dy2ScBe2Rh5,"('Be', 'Dy', 'Rh', 'Sc')",9.391804418586516e-14,1
Ho5Er2Tm4Zr,"('Er', 'Ho', 'Tm', 'Zr')",0.9621031284332277,1
Yb2Ni3,"('Ni', 'Yb')",0.8989254832267761,1
AlInAg4,"('Ag', 'Al', 'In')",0.0153367696329951,1
Tl4SnBiS6,"('Bi', 'S', 'Sn', 'Tl')",0.5337788462638855,1
Rb2Cd6Pt,"('Cd', 'Pt', 'Rb')",0.4897342324256897,1
CsCdHg,"('Cd', 'Cs', 'Hg')",0.0482214502990245,2
YbIn5Ru,"('In', 'Ru', 'Yb')",0.0205234084278345,2
Tl9Hg7,"('Hg', 'Tl')",0.0014870238956063,2
In2Bi3Pb2,"('Bi', 'In', 'Pb')",1.401584540872136e-06,2
NdSmYSc,"('Nd', 'Sc', 'Sm', 'Y')",0.7141420245170593,2
HoErGa3CuPt4,"('Cu', 'Er', 'Ga', 'Ho', 'Pt')",1.1443820113754556e-08,2
KCoP,"('Co', 'K', 'P')",0.104053720831871,2
CeMnCrSiC,"('C', 'Ce', 'Cr', 'Mn', 'Si')",0.4959198832511902,2
SrHg4,"('Hg', 'Sr')",0.9928624033927916,2
K4Sb4PdAu,"('Au', 'K', 'Pd', 'Sb')",0.5031068325042725,2
Ce2TlCuSe4,"('Ce', 'Cu', 'Se', 'Tl')",0.7337662577629089,2
TiMnCrS4,"('Cr', 'Mn', 'S', 'Ti')",0.9461925625801086,2
TbPrNdDy2Y,"('Dy', 'Nd', 'Pr', 'Tb', 'Y')",0.984589695930481,2
SrTl2CdAg,"('Ag', 'Cd', 'Sr', 'Tl')",0.7660035490989685,2
La5Ho2Tm3,"('Ho', 'La', 'Tm')",0.9701200723648072,2
Ba8Ir2Au5,"('Au', 'Ba', 'Ir')",0.8481825590133667,2
Sr2Cd5Au4,"('Au', 'Cd', 'Sr')",0.9981682300567628,2
K3Nb3BiO11,"('Bi', 'K', 'Nb', 'O')",0.0002726433449424,2
